B1,B2,B3,B4,B5,B6,Sector
-67,-89,-76,-78,-70,-74,5
-68,-79,-76,-68,-74,-72,5
-67,-89,-75,-65,-71,-68,5
-67,-74,-75,-63,-68,-67,5
-67,-82,-87,-100,-66,-68,5
-66,-71,-91,-60,-69,-67,5
-66,-72,-87,-97,-69,-64,5
-68,-82,-88,-58,-72,-69,5
-66,-72,-89,-95,-69,-65,5
-67,-89,-74,-60,-74,-64,5
-63,-79,-74,-60,-70,-64,5
-69,-88,-74,-60,-72,-65,5
-70,-78,-74,-97,-72,-66,5
-67,-90,-75,-97,-76,-65,5
-68,-80,-75,-62,-75,-66,5
-67,-68,-76,-59,-76,-65,5
-65,-78,-73,-96,-66,-65,5
-67,-68,-76,-64,-67,-64,5
-67,-78,-75,-100,-71,-64,5
-68,-68,-75,-101,-73,-64,5
-69,-78,-75,-69,-71,-65,5
-67,-68,-75,-62,-71,-68,5
-65,-84,-76,-102,-67,-67,5
-70,-74,-79,-60,-68,-69,5
-74,-85,-88,-62,-67,-67,5
-74,-80,-91,-98,-69,-63,5
-70,-86,-94,-61,-73,-65,5
-69,-72,-86,-62,-71,-66,5
-69,-85,-86,-62,-70,-64,5
-73,-76,-87,-64,-70,-66,5
-71,-83,-80,-99,-69,-67,5
-72,-69,-78,-62,-66,-65,5
-71,-79,-78,-100,-72,-65,5
-69,-79,-76,-62,-66,-64,5
-68,-69,-77,-65,-67,-66,5
-67,-79,-76,-70,-67,-66,5
-69,-69,-88,-69,-70,-66,5
-71,-79,-91,-62,-70,-64,5
-68,-82,-81,-62,-70,-64,5
-66,-85,-80,-63,-70,-64,5
-67,-84,-80,-63,-70,-64,5
-68,-90,-80,-62,-69,-65,5
-68,-82,-86,-100,-69,-66,5
-68,-96,-81,-100,-72,-61,5
-71,-92,-80,-99,-69,-64,5
-72,-89,-70,-62,-70,-66,5
-69,-77,-78,-69,-80,-74,6
-78,-87,-88,-70,-76,-76,6
-74,-87,-88,-67,-69,-75,6
-71,-76,-88,-80,-66,-70,6
