B1,B2,B3,B4,B5,B6,Sector
-98,-79,-62,-72,-76,-100,7
-79,-78,-60,-72,-70,-62,7
-91,-89,-60,-72,-70,-63,7
-88,-74,-59,-72,-68,-62,7
-86,-84,-58,-82,-82,-63,7
-84,-74,-58,-80,-82,-63,7
-81,-84,-58,-80,-71,-63,7
-81,-67,-60,-83,-78,-63,7
-80,-67,-59,-86,-78,-62,7
-82,-76,-61,-90,-71,-63,7
-84,-66,-62,-90,-71,-65,7
-86,-76,-60,-80,-71,-83,7
-81,-66,-61,-82,-82,-76,7
-82,-76,-60,-83,-81,-77,7
-80,-82,-57,-81,-87,-63,7
-86,-73,-57,-80,-71,-64,7
-80,-73,-57,-78,-72,-63,7
-80,-82,-57,-80,-83,-69,7
-77,-71,-57,-80,-77,-70,7
-79,-82,-58,-81,-75,-78,7
-81,-70,-57,-82,-77,-62,7
-82,-77,-60,-81,-78,-61,7
-82,-64,-60,-80,-79,-98,7
-82,-75,-61,-80,-74,-102,7
-86,-65,-60,-83,-75,-61,7
-86,-64,-60,-83,-74,-64,7
-88,-84,-57,-84,-78,-62,7
-86,-74,-57,-80,-80,-64,7
-90,-80,-56,-78,-79,-67,7
-94,-69,-56,-80,-72,-68,7
-86,-82,-56,-80,-71,-70,7
-86,-68,-61,-80,-74,-69,7
-92,-79,-62,-80,-76,-63,7
-87,-70,-57,-76,-79,-64,7
-85,-82,-60,-77,-76,-66,7
-88,-70,-61,-77,-73,-66,7
-90,-83,-61,-82,-77,-66,7
-84,-74,-60,-78,-78,-67,7
-86,-84,-62,-79,-76,-66,7
-83,-74,-63,-78,-77,-65,7
-85,-83,-64,-80,-76,-65,7
-82,-85,-55,-89,-77,-63,7
-87,-76,-56,-85,-76,-63,7
-86,-71,-56,-80,-77,-67,7
-86,-82,-58,-80,-76,-67,7
-85,-70,-57,-80,-91,-67,7
-85,-81,-56,-80,-90,-64,7
-84,-74,-58,-90,-89,-64,7
-84,-89,-58,-88,-72,-62,7
-82,-73,-58,-76,-72,-68,7
-84,-81,-58,-78,-76,-70,7
-91,-71,-58,-76,-72,-67,7
-85,-82,-60,-78,-74,-61,7
-82,-74,-61,-79,-77,-100,7
-80,-87,-62,-77,-77,-61,7
-80,-91,-57,-83,-72,-100,7
-80,-80,-58,-81,-74,-98,7
-80,-91,-60,-83,-77,-61,7
-80,-71,-62,-83,-81,-100,7
-80,-65,-59,-80,-80,-98,7
-83,-80,-62,-80,-79,-68,7
-82,-70,-61,-82,-76,-67,7
-83,-80,-62,-84,-83,-66,7
-83,-78,-57,-83,-75,-62,7
-81,-75,-52,-86,-70,-98,7
-82,-81,-53,-82,-70,-62,7
-84,-80,-55,-78,-71,-99,7
-82,-71,-54,-86,-73,-101,7
-80,-81,-55,-76,-81,-60,7
-83,-80,-55,-77,-74,-98,7
-91,-77,-55,-76,-85,-98,7
-97,-67,-55,-91,-84,-61,7
-89,-76,-56,-82,-82,-64,7
-81,-66,-56,-81,-96,-63,7
-81,-77,-56,-76,-85,-64,7
-82,-67,-56,-78,-76,-67,7
-81,-77,-56,-82,-79,-68,7
-80,-67,-57,-81,-92,-68,7
-81,-94,-56,-84,-88,-66,7
-81,-78,-55,-84,-82,-66,7
-82,-87,-54,-83,-86,-65,7
-88,-89,-54,-84,-82,-67,7
